335987,1,1,3
335987,1,63,1
335987,1,82,3
335987,1,84,1
335987,1,106,2
335987,2,9,1
335987,2,10,0
335987,2,13,1
335987,2,14,0
335987,2,15,1
335987,2,16,0
335988,3,22,0
335988,3,119,1
335988,3,120,1
335988,3,121,1
335988,3,435,1
335988,4,24,0
335988,4,25,1
335988,4,29,2
335988,4,66,1
335988,4,67,0
335988,4,68,1
335988,4,77,0
335989,5,31,0
335989,5,32,1
335989,5,37,0
335989,5,38,0
335989,5,39,0
335989,5,126,0
335989,6,89,3
335989,6,90,2
335989,6,118,1
335989,6,175,1
335989,6,436,1
335990,2,9,0
335990,2,12,2
335990,2,14,1
335990,2,15,3
335990,2,16,0
335990,2,81,0
335990,7,44,1
335990,7,48,0
335990,7,49,0
335990,7,50,2
335990,7,73,1
335990,7,80,1
335991,1,4,1
335991,1,5,1
335991,1,82,2
335991,1,83,4
335991,1,84,1
335991,1,106,1
335991,8,56,0
335991,8,58,0
335991,8,59,0
335991,8,60,2
335991,8,61,1
335991,8,131,2
335992,4,25,1
335992,4,29,1
335992,4,66,1
335992,4,67,0
335992,4,68,0
335992,4,77,1
335992,5,31,0
335992,5,32,0
335992,5,37,1
335992,5,38,3
335992,5,39,2
335992,5,75,0
335992,5,126,2
335993,6,89,3
335993,6,90,2
335993,6,91,1
335993,6,117,2
335993,6,118,0
335993,8,56,0
335993,8,59,0
335993,8,60,0
335993,8,61,1
335993,8,70,0
335993,8,131,0
335994,3,22,1
335994,3,119,2
335994,3,120,1
335994,3,121,2
335994,3,435,1
335994,7,48,0
335994,7,49,0
335994,7,50,0
335994,7,71,0
335994,7,72,2
335994,7,73,2
335994,7,80,1
335994,7,150,0
335995,5,31,2
335995,5,32,1
335995,5,37,0
335995,5,38,2
335995,5,39,0
335995,5,75,0
335995,5,126,0
335995,8,56,0
335995,8,60,1
335995,8,61,2
335995,8,70,3
335995,8,99,1
335995,8,131,0
335996,4,29,2
335996,4,66,2
335996,4,67,2
335996,4,77,2
335996,4,78,1
335996,7,49,1
335996,7,50,4
335996,7,71,0
335996,7,72,0
335996,7,73,2
335996,7,80,3
335997,2,9,0
335997,2,14,1
335997,2,15,1
335997,2,16,1
335997,2,81,0
335997,2,124,0
335997,5,31,0
335997,5,32,3
335997,5,38,2
335997,5,39,1
335997,5,102,0
335997,5,126,2
335998,1,4,0
335998,1,5,0
335998,1,63,0
335998,1,82,1
335998,1,83,0
335998,1,84,0
335998,1,106,0
335998,3,22,3
335998,3,119,2
335998,3,120,2
335998,3,121,0
335998,3,435,2
335999,7,44,0
335999,7,48,0
335999,7,49,0
335999,7,71,0
335999,7,73,0
335999,7,80,0
335999,7,148,0
335999,8,59,2
335999,8,61,2
335999,8,70,2
335999,8,98,1
335999,8,99,0
335999,8,131,0
336000,4,27,1
336000,4,29,3
336000,4,66,1
336000,4,67,0
336000,4,77,0
336000,4,78,3
336000,6,86,1
336000,6,89,1
336000,6,90,0
336000,6,91,1
336000,6,117,2
336000,6,118,1
336001,2,9,0
336001,2,12,0
336001,2,14,2
336001,2,15,3
336001,2,94,0
336001,3,22,2
336001,3,109,1
336001,3,119,2
336001,3,120,3
336001,3,435,2
336002,1,1,0
336002,1,5,0
336002,1,63,0
336002,1,82,1
336002,1,83,0
336002,1,84,1
336002,1,106,1
336002,7,44,4
336002,7,49,2
336002,7,71,1
336002,7,73,0
336002,7,80,0
336002,7,149,1
336003,2,8,0
336003,2,9,2
336003,2,14,0
336003,2,15,1
336003,2,16,0
336003,2,81,0
336003,2,94,2
336003,6,41,0
336003,6,86,0
336003,6,89,0
336003,6,91,0
336003,6,117,0
336003,6,118,4
336003,6,175,1
336004,4,29,2
336004,4,67,4
336004,4,77,1
336004,4,78,0
336004,4,437,1
336004,8,54,0
336004,8,59,1
336004,8,61,0
336004,8,70,0
336004,8,98,1
336004,8,99,1
336005,1,1,0
336005,1,4,0
336005,1,63,1
336005,1,82,1
336005,1,84,1
336005,1,105,4
336005,1,106,0
336005,5,31,1
336005,5,32,2
336005,5,38,1
336005,5,39,3
336005,5,102,3
336005,5,126,0
336006,3,109,0
336006,3,119,1
336006,3,120,1
336006,3,121,0
336006,3,122,0
336006,6,41,1
336006,6,86,0
336006,6,89,1
336006,6,91,1
336006,6,116,1
336006,6,117,1
336006,6,118,1
336007,2,8,2
336007,2,9,0
336007,2,12,0
336007,2,81,4
336007,2,94,3
336007,2,124,1
336007,8,54,0
336007,8,59,2
336007,8,60,2
336007,8,61,0
336007,8,111,0
336007,8,112,1
336007,8,143,0
336008,1,4,2
336008,1,5,1
336008,1,82,0
336008,1,84,0
336008,1,105,2
336008,1,106,1
336008,4,25,0
336008,4,29,2
336008,4,67,0
336008,4,77,2
336008,4,78,1
336008,4,437,1
336009,6,41,1
336009,6,86,1
336009,6,89,1
336009,6,91,3
336009,6,116,1
336009,6,117,1
336009,6,118,0
336009,7,44,0
